"パッケージID","ブランド事業者名","発電ユニット製造事業者名","発電ユニット番号","貯湯ユニット製造事業者名","貯湯ユニット品番","補助熱源機製造事業者名","補助熱源機品番","情報公開日","発売予定年月日","性能確認区分","成績証明書番号または自己適合宣言書番号","方式","PUの発電方式","PU仮想発電量_a_PU","PU仮想発電量_a_DHW","PU仮想発電量_a_HWH","PU仮想発電量_b","PU仮想発電量_c","PU仮想燃料消費量_a_DHW","PU仮想燃料消費量_a_HWH","PU仮想排熱量上限比_a_DHW","PU仮想排熱量上限比_a_HWH","PU仮想排熱量上限比_b","PU発電効率_a_PU","PU発電効率_a_DHW","PU発電効率_a_HWH","PU発電効率_b","PU発電効率_上限値","PU発電効率_下限値","PU排熱効率_a_PU","PU排熱効率_a_DHW","PU排熱効率_a_HWH","PU排熱効率_b","PU排熱効率_上限値","PU排熱効率_下限値","BB熱源種別","BB給湯モード熱効率_e_rtd,DHW","バックアップボイラー種類","バックアップボイラー定格効率_e_BB,rtd,HWH","バックアップボイラー定格能力_e_rtd,BB,HWH","暖房熱負荷への排熱利用","暖房熱負荷への排熱利用方式","PU給湯排熱利用率_r_DHW,gen,PU","PU暖房排熱利用率_r_HWH,gen,PU","TU補機消費電力_温水暖房_P_TU,aux,HWH","TU補機消費電力_給湯_P_TU,aux,DHW","定格発電出力_P_rtd,PU","測定データ判定プログラム","パラメータ抽出プログラム","試験基準バージョン","備考","成績証明書または自己適合宣言書PDFリンク先","承認日時","取下日時","削除日時","最終更新日時","status"
5572,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARS0AW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARS0AW3P","2018-05-02 17:25:25","","","2018-05-02 17:25:25","一般公開中"
5568,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARS2AW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARS2AW3P","2018-05-02 17:25:23","","","2018-05-02 17:25:23","一般公開中"
5569,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARS4AW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARS4AW3P","2018-05-02 17:25:21","","","2018-05-02 17:25:21","一般公開中"
5570,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARS8AW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARS8AW3P","2018-05-02 17:25:20","","","2018-05-02 17:25:20","一般公開中"
5571,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARS9AW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARS9AW3P","2018-05-02 17:25:18","","","2018-05-02 17:25:18","一般公開中"
5567,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","－","-","株式会社ノーリツ","FT4216ARSAW3P","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=FT4216ARSAW3P","2018-05-02 17:25:16","","","2018-05-02 17:25:16","一般公開中"
5544,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","-","-","パーパス株式会社","GH-H240ABH3","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=GH-H240ABH3","2018-05-02 17:25:14","","","2018-05-02 17:25:14","一般公開中"
5538,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","-","-","パーパス株式会社","GH-H240ABH6","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=GH-H240ABH6","2018-05-02 17:25:13","","","2018-05-02 17:25:13","一般公開中"
5540,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","-","-","パーパス株式会社","GH-H240AFH6","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=GH-H240AFH6","2018-05-02 17:25:11","","","2018-05-02 17:25:11","一般公開中"
5542,"アイシン精機株式会社","アイシン精機株式会社","FCCS07B2N","-","-","パーパス株式会社","GH-H240ATH3","2018-03-01","2018-04-01","A","JIA-NFC-15001","SOFC","電主","1.1462","0","0","-7.6278","0.9705","ND","ND","ND","ND","ND","0.003684","0","0","0.2788","0.4389","0.4192","-0.000617","0","0","0.362","0.3429","0.3278","ガス","0.905","G_EJ","0.87","17400","なし","ND","0.4432","ND","ND","7","700","ver.1.2.1","ver.1.0","平成２８年４月１日","","https://www2.hyoukakyoukai.or.jp/teitanso/info/cogeneration_pdf.php?cat_key=g3&key_b=9&key_g=FCCS07B2N&key_h=-&key_a=GH-H240ATH3","2018-05-02 17:25:10","","","2018-05-02 17:25:10","一般公開中"
