No.,åé,ì˙,ì˙ïΩãœäOãCâ∑ìx[Åé]
1,1,1,14.6
2,1,2,14.6
3,1,3,14.6
4,1,4,14.6
5,1,5,14.6
6,1,6,14.6
7,1,7,14.6
8,1,8,14.6
9,1,9,14.6
10,1,10,14.6
11,1,11,14.6
12,1,12,14.6
13,1,13,14.6
14,1,14,14.6
15,1,15,14.6
16,1,16,14.6
17,1,17,14.6
18,1,18,14.6
19,1,19,14.6
20,1,20,14.6
21,1,21,14.6
22,1,22,14.6
23,1,23,14.6
24,1,24,14.6
25,1,25,14.6
26,1,26,14.6
27,1,27,14.6
28,1,28,14.6
29,1,29,14.6
30,1,30,14.6
31,1,31,14.6
32,2,1,14.6
33,2,2,14.6
34,2,3,14.6
35,2,4,14.6
36,2,5,14.6
37,2,6,14.6
38,2,7,14.6
39,2,8,14.6
40,2,9,14.6
41,2,10,14.6
42,2,11,14.6
43,2,12,14.6
44,2,13,14.6
45,2,14,14.6
46,2,15,14.6
47,2,16,14.6
48,2,17,14.6
49,2,18,14.6
50,2,19,14.6
51,2,20,14.6
52,2,21,14.6
53,2,22,14.6
54,2,23,14.6
55,2,24,14.6
56,2,25,14.6
57,2,26,14.6
58,2,27,14.6
59,2,28,14.6
60,3,1,14.6
61,3,2,14.6
62,3,3,14.6
63,3,4,14.6
64,3,5,14.6
65,3,6,14.6
66,3,7,14.6
67,3,8,14.6
68,3,9,14.6
69,3,10,14.6
70,3,11,14.6
71,3,12,14.6
72,3,13,14.6
73,3,14,14.6
74,3,15,14.6
75,3,16,14.6
76,3,17,14.6
77,3,18,14.6
78,3,19,14.6
79,3,20,14.6
80,3,21,14.6
81,3,22,14.6
82,3,23,14.6
83,3,24,14.6
84,3,25,14.6
85,3,26,14.6
86,3,27,14.6
87,3,28,14.6
88,3,29,14.6
89,3,30,14.6
90,3,31,14.6
91,4,1,14.6
92,4,2,14.6
93,4,3,14.6
94,4,4,14.6
95,4,5,14.6
96,4,6,14.6
97,4,7,14.6
98,4,8,14.6
99,4,9,14.6
100,4,10,14.6
101,4,11,14.6
102,4,12,14.6
103,4,13,14.6
104,4,14,14.6
105,4,15,14.6
106,4,16,14.6
107,4,17,14.6
108,4,18,14.6
109,4,19,14.6
110,4,20,14.6
111,4,21,14.6
112,4,22,14.6
113,4,23,14.6
114,4,24,14.6
115,4,25,14.6
116,4,26,14.6
117,4,27,14.6
118,4,28,14.6
119,4,29,14.6
120,4,30,14.6
121,5,1,14.6
122,5,2,14.6
123,5,3,14.6
124,5,4,14.6
125,5,5,14.6
126,5,6,14.6
127,5,7,14.6
128,5,8,14.6
129,5,9,14.6
130,5,10,14.6
131,5,11,14.6
132,5,12,14.6
133,5,13,14.6
134,5,14,14.6
135,5,15,14.6
136,5,16,14.6
137,5,17,14.6
138,5,18,14.6
139,5,19,14.6
140,5,20,14.6
141,5,21,14.6
142,5,22,14.6
143,5,23,14.6
144,5,24,14.6
145,5,25,14.6
146,5,26,14.6
147,5,27,14.6
148,5,28,14.6
149,5,29,14.6
150,5,30,14.6
151,5,31,14.6
152,6,1,14.6
153,6,2,14.6
154,6,3,14.6
155,6,4,14.6
156,6,5,14.6
157,6,6,14.6
158,6,7,14.6
159,6,8,14.6
160,6,9,14.6
161,6,10,14.6
162,6,11,14.6
163,6,12,14.6
164,6,13,14.6
165,6,14,14.6
166,6,15,14.6
167,6,16,14.6
168,6,17,14.6
169,6,18,14.6
170,6,19,14.6
171,6,20,14.6
172,6,21,14.6
173,6,22,14.6
174,6,23,14.6
175,6,24,14.6
176,6,25,14.6
177,6,26,14.6
178,6,27,14.6
179,6,28,14.6
180,6,29,14.6
181,6,30,14.6
182,7,1,14.6
183,7,2,14.6
184,7,3,14.6
185,7,4,14.6
186,7,5,14.6
187,7,6,14.6
188,7,7,14.6
189,7,8,14.6
190,7,9,14.6
191,7,10,14.6
192,7,11,14.6
193,7,12,14.6
194,7,13,14.6
195,7,14,14.6
196,7,15,14.6
197,7,16,14.6
198,7,17,14.6
199,7,18,14.6
200,7,19,14.6
201,7,20,14.6
202,7,21,14.6
203,7,22,14.6
204,7,23,14.6
205,7,24,14.6
206,7,25,14.6
207,7,26,14.6
208,7,27,14.6
209,7,28,14.6
210,7,29,14.6
211,7,30,14.6
212,7,31,14.6
213,8,1,14.6
214,8,2,14.6
215,8,3,14.6
216,8,4,14.6
217,8,5,14.6
218,8,6,14.6
219,8,7,14.6
220,8,8,14.6
221,8,9,14.6
222,8,10,14.6
223,8,11,14.6
224,8,12,14.6
225,8,13,14.6
226,8,14,14.6
227,8,15,14.6
228,8,16,14.6
229,8,17,14.6
230,8,18,14.6
231,8,19,14.6
232,8,20,14.6
233,8,21,14.6
234,8,22,14.6
235,8,23,14.6
236,8,24,14.6
237,8,25,14.6
238,8,26,14.6
239,8,27,14.6
240,8,28,14.6
241,8,29,14.6
242,8,30,14.6
243,8,31,14.6
244,9,1,14.6
245,9,2,14.6
246,9,3,14.6
247,9,4,14.6
248,9,5,14.6
249,9,6,14.6
250,9,7,14.6
251,9,8,14.6
252,9,9,14.6
253,9,10,14.6
254,9,11,14.6
255,9,12,14.6
256,9,13,14.6
257,9,14,14.6
258,9,15,14.6
259,9,16,14.6
260,9,17,14.6
261,9,18,14.6
262,9,19,14.6
263,9,20,14.6
264,9,21,14.6
265,9,22,14.6
266,9,23,14.6
267,9,24,14.6
268,9,25,14.6
269,9,26,14.6
270,9,27,14.6
271,9,28,14.6
272,9,29,14.6
273,9,30,14.6
274,10,1,14.6
275,10,2,14.6
276,10,3,14.6
277,10,4,14.6
278,10,5,14.6
279,10,6,14.6
280,10,7,14.6
281,10,8,14.6
282,10,9,14.6
283,10,10,14.6
284,10,11,14.6
285,10,12,14.6
286,10,13,14.6
287,10,14,14.6
288,10,15,14.6
289,10,16,14.6
290,10,17,14.6
291,10,18,14.6
292,10,19,14.6
293,10,20,14.6
294,10,21,14.6
295,10,22,14.6
296,10,23,14.6
297,10,24,14.6
298,10,25,14.6
299,10,26,14.6
300,10,27,14.6
301,10,28,14.6
302,10,29,14.6
303,10,30,14.6
304,10,31,14.6
305,11,1,14.6
306,11,2,14.6
307,11,3,14.6
308,11,4,14.6
309,11,5,14.6
310,11,6,14.6
311,11,7,14.6
312,11,8,14.6
313,11,9,14.6
314,11,10,14.6
315,11,11,14.6
316,11,12,14.6
317,11,13,14.6
318,11,14,14.6
319,11,15,14.6
320,11,16,14.6
321,11,17,14.6
322,11,18,14.6
323,11,19,14.6
324,11,20,14.6
325,11,21,14.6
326,11,22,14.6
327,11,23,14.6
328,11,24,14.6
329,11,25,14.6
330,11,26,14.6
331,11,27,14.6
332,11,28,14.6
333,11,29,14.6
334,11,30,14.6
335,12,1,14.6
336,12,2,14.6
337,12,3,14.6
338,12,4,14.6
339,12,5,14.6
340,12,6,14.6
341,12,7,14.6
342,12,8,14.6
343,12,9,14.6
344,12,10,14.6
345,12,11,14.6
346,12,12,14.6
347,12,13,14.6
348,12,14,14.6
349,12,15,14.6
350,12,16,14.6
351,12,17,14.6
352,12,18,14.6
353,12,19,14.6
354,12,20,14.6
355,12,21,14.6
356,12,22,14.6
357,12,23,14.6
358,12,24,14.6
359,12,25,14.6
360,12,26,14.6
361,12,27,14.6
362,12,28,14.6
363,12,29,14.6
364,12,30,14.6
365,12,31,14.6
