No.,åé,ì˙,ì˙ïΩãœäOãCâ∑ìx[Åé]
1,1,1,-13
2,1,2,-11.8
3,1,3,-7.8
4,1,4,-9.1
5,1,5,-10.4
6,1,6,-10.4
7,1,7,-14.6
8,1,8,-5.9
9,1,9,-9.9
10,1,10,-8.4
11,1,11,-10.1
12,1,12,-11.7
13,1,13,-5.3
14,1,14,-10.1
15,1,15,-12.2
16,1,16,-13
17,1,17,-5.7
18,1,18,-0.5
19,1,19,-6
20,1,20,-12
21,1,21,-9.8
22,1,22,-6
23,1,23,-7.8
24,1,24,-11.5
25,1,25,-13.7
26,1,26,-10
27,1,27,-5.8
28,1,28,-5.4
29,1,29,-9
30,1,30,-11.6
31,1,31,-13.1
32,2,1,-13.8
33,2,2,-15
34,2,3,-14.2
35,2,4,-10.8
36,2,5,-10.3
37,2,6,-11.8
38,2,7,-7.3
39,2,8,-5.2
40,2,9,-6.8
41,2,10,-3.8
42,2,11,-5.1
43,2,12,-6.1
44,2,13,-11.2
45,2,14,-12.2
46,2,15,-11.6
47,2,16,-11.2
48,2,17,-9.2
49,2,18,-13.5
50,2,19,-15.1
51,2,20,-15.2
52,2,21,-12.1
53,2,22,-9.3
54,2,23,-5.3
55,2,24,1.1
56,2,25,0.4
57,2,26,-1.8
58,2,27,-4.2
59,2,28,-6.6
60,3,1,-9.1
61,3,2,-7.9
62,3,3,-4.5
63,3,4,-9.2
64,3,5,-10.4
65,3,6,-5.9
66,3,7,-7.9
67,3,8,-8.4
68,3,9,-8.8
69,3,10,-4.9
70,3,11,0.9
71,3,12,1.8
72,3,13,-1.6
73,3,14,-2.6
74,3,15,-3.2
75,3,16,-3.6
76,3,17,-1
77,3,18,-0.1
78,3,19,0.9
79,3,20,-0.5
80,3,21,-2.5
81,3,22,-2.4
82,3,23,0.2
83,3,24,-1.2
84,3,25,-1.6
85,3,26,-1.7
86,3,27,-0.6
87,3,28,0.6
88,3,29,-0.6
89,3,30,-1.6
90,3,31,-2.1
91,4,1,0.2
92,4,2,3
93,4,3,3.1
94,4,4,3.5
95,4,5,3
96,4,6,0.6
97,4,7,-1.4
98,4,8,-0.2
99,4,9,2.4
100,4,10,5.1
101,4,11,6.8
102,4,12,9.1
103,4,13,10.2
104,4,14,9
105,4,15,1.7
106,4,16,2
107,4,17,8
108,4,18,12
109,4,19,10.6
110,4,20,7.6
111,4,21,0.5
112,4,22,2.9
113,4,23,2.8
114,4,24,0.8
115,4,25,3.9
116,4,26,6.9
117,4,27,8.2
118,4,28,14.2
119,4,29,18.5
120,4,30,9.6
121,5,1,6.5
122,5,2,8.4
123,5,3,6.6
124,5,4,5.4
125,5,5,3.9
126,5,6,6.3
127,5,7,8.2
128,5,8,7.1
129,5,9,5.6
130,5,10,2
131,5,11,2.5
132,5,12,3.4
133,5,13,6.5
134,5,14,7.6
135,5,15,9.3
136,5,16,8
137,5,17,10.8
138,5,18,9.4
139,5,19,11.8
140,5,20,13.1
141,5,21,13.3
142,5,22,18.4
143,5,23,19.5
144,5,24,14.8
145,5,25,13.9
146,5,26,17.5
147,5,27,19.4
148,5,28,15.7
149,5,29,16.7
150,5,30,9
151,5,31,13.6
152,6,1,9.8
153,6,2,10
154,6,3,13.9
155,6,4,12.9
156,6,5,12.1
157,6,6,11.2
158,6,7,13.5
159,6,8,18.3
160,6,9,20
161,6,10,9.9
162,6,11,8.1
163,6,12,16.7
164,6,13,16.4
165,6,14,15.5
166,6,15,14.9
167,6,16,18.2
168,6,17,16.1
169,6,18,16.1
170,6,19,13.6
171,6,20,12.3
172,6,21,10.4
173,6,22,11.7
174,6,23,14.2
175,6,24,14
176,6,25,15.6
177,6,26,16
178,6,27,13.8
179,6,28,14
180,6,29,17.1
181,6,30,16.8
182,7,1,14.5
183,7,2,18.6
184,7,3,18.4
185,7,4,19.1
186,7,5,21.3
187,7,6,19.3
188,7,7,19.1
189,7,8,11.9
190,7,9,14.3
191,7,10,17.4
192,7,11,17.9
193,7,12,21.9
194,7,13,20.7
195,7,14,15.3
196,7,15,12.6
197,7,16,13.1
198,7,17,15.4
199,7,18,15.6
200,7,19,14.4
201,7,20,18
202,7,21,19.3
203,7,22,18.9
204,7,23,21.2
205,7,24,22.3
206,7,25,25.3
207,7,26,25.5
208,7,27,26
209,7,28,26.6
210,7,29,20.6
211,7,30,15.5
212,7,31,17
213,8,1,21.3
214,8,2,21.2
215,8,3,23.4
216,8,4,20.3
217,8,5,22
218,8,6,24.5
219,8,7,26
220,8,8,26.7
221,8,9,24.5
222,8,10,21.9
223,8,11,17.7
224,8,12,21.2
225,8,13,22.8
226,8,14,21.4
227,8,15,19.7
228,8,16,17.1
229,8,17,16.3
230,8,18,15.7
231,8,19,16.1
232,8,20,19
233,8,21,22.6
234,8,22,24.3
235,8,23,20.9
236,8,24,18.4
237,8,25,17.5
238,8,26,18.6
239,8,27,19.7
240,8,28,19.4
241,8,29,21.6
242,8,30,19.6
243,8,31,19.5
244,9,1,14.4
245,9,2,13.5
246,9,3,13.6
247,9,4,14.7
248,9,5,14.4
249,9,6,16
250,9,7,17
251,9,8,16.3
252,9,9,15.9
253,9,10,18
254,9,11,16.7
255,9,12,16.9
256,9,13,16.5
257,9,14,17.3
258,9,15,16
259,9,16,13.6
260,9,17,12.6
261,9,18,14.1
262,9,19,17.3
263,9,20,17.2
264,9,21,16.4
265,9,22,14.1
266,9,23,15.8
267,9,24,13.9
268,9,25,13.4
269,9,26,12.7
270,9,27,12.7
271,9,28,12.5
272,9,29,10.3
273,9,30,10.8
274,10,1,13.5
275,10,2,14.6
276,10,3,14.9
277,10,4,10.2
278,10,5,7.3
279,10,6,7.7
280,10,7,8.6
281,10,8,9.5
282,10,9,11.3
283,10,10,10.2
284,10,11,12
285,10,12,11.1
286,10,13,9.8
287,10,14,9.7
